id, title, releaseYear
500,Baby Face,1933
501,The Buffalo Creek Flood: An Act of Man,1975
502,The Cameraman,1928
503,"Commandment Keeper Church, Beaufort, South Carolina (May 1940)",1940
504,Cool Hand Luke,1967
505,Fast Times at Ridgemont High,1982
506,The French Connection,1971
507,Giant,1956
508,H2O,1929
509,Hands Up!,1926
510,Hoop Dreams,1994
511,House of Usher,1960
512,Imitation of Life,1934
513,Jeffries-Johnson World’s Championship Boxing Contest,1910
514,The Making of an American,1920
515,Miracle on 34th Street,1947
516,Mom and Dad,1944
517,The Music Man,1962
518,The Power of the Press,1928
519,A Raisin in the Sun,1961
520,The Rocky Horror Picture Show,1975
521,"San Francisco Earthquake and Fire, April 18, 1906",1906
522,The Sting,1973
523,A Time for Burning,1966
524,Toy Story,1995
525,Ben-Hur (1959),1959
526,The Blue Bird,1918
527,A Bronx Morning,1931
528,Clash of the Wolves,1925
529,The Court Jester,1956
530,D.O.A.,1950
531,Daughters of the Dust,1991
532,Duck and Cover,1951
533,Empire,1964
534,Enter the Dragon,1973
535,Eraserhead,1977
536,Garlic Is As Good As Ten Mothers,1980
537,Going My Way,1944
538,Jailhouse Rock,1957
539,"Kannapolis, N.C.",1941
540,Lady Helen’s Escapade,1909
541,The Nutty Professor,1963
542,OffOn,1968
543,Popeye the Sailor Meets Sindbad the Sailor,1936
544,Pups Is Pups,1930
545,Schindler’s List,1993
546,Seven Brides for Seven Brothers,1954
547,Swing Time,1936
548,There It Is,1928
549,Unforgiven,1992
550,Antonia: A Portrait of the Woman,1974
551,Atlantic City,1980
552,Butch Cassidy and the Sundance Kid,1969
553,The Chechahcos,1924
554,Dickson Experimental Sound Film,1894
555,Film Portrait,1972
556,Fox Movietone News: Jenkins Orphanage Band,1928
557,Gold Diggers of 1933,1933
558,The Hunters,1957
559,Matrimony’s Speed Limit,1913
560,Medium Cool,1969
561,National Velvet,1944
562,Naughty Marietta,1935
563,Nostalgia,1971
564,One Froggy Evening,1956
565,Patton,1970
566,"Princess Nicotine; or, The Smoke Fairy",1909
567,Show People,1928
568,The Son of the Sheik,1926
569,Tarzan and His Mate,1934
570,Tin Toy,1988
571,The Wedding March,1928
572,White Heat,1949
573,Young Frankenstein,1974
574,Young Mr. Lincoln,1939
575,Alien,1979
576,All My Babies,1953
577,The Bad and the Beautiful,1952
578,Beauty and the Beast,1991
579,The Black Stallion,1979
580,Boyz N the Hood,1991
581,Demolishing and Building Up the Star Theatre,1901
582,The Endless Summer,1966
583,From Here to Eternity,1953
584,From Stump to Ship,1930
585,Fuji,1974
586,In the Heat of the Night,1967
587,Lady Windermere’s Fan,1925
588,Melody Ranch,1940
589,Navajo Film Themselves (Through Navajo Eyes),1966
590,The Pearl,1948
591,Punch Drunks,1934
592,Sabrina,1954
593,Stranger Than Paradise,1984
594,Theodore Case Sound Test: Gus Visser and His Singing Duck,1925
595,This Is Cinerama,1952
596,This Is Spinal Tap,1984
597,Why Man Creates,1968
598,Wild and Woolly,1917
599,Wild River,1960
600,Abbott and Costello Meet Frankenstein,1948
601,All That Jazz,1979
602,All the King’s Men,1949
603,"America, America",1963
604,Cologne: From the Diary of Ray and Esther,1939
605,The Evidence of the Film,1913
606,Hoosiers,1986
607,The House in the Middle,1954
608,It,1927
609,Jam Session,1942
610,Jaws,1975
611,Manhattan,1979
